Reference	Lexrank	Seq-to-seq	Score
Technology is well represented on the 2013 "Best Global Brands" list. Apple and Google finish one-two, with Coca-Cola in third. Coke had topped the list for all of its previous 13 years. IBM, Microsoft, Samsung and Intel also hit top 10 on list, published by Interbrand.	1 -- Apple." According to the report, Apple's brand is estimated to be worth $98.3 billion, a 28% increase over 2012, when it was No. Apple and Google were just two of many tech companies among the list's fastest-rising brands. The report estimates that the list's tech companies have a combined value of more than $443 billion.	Apple is the world's most valuable brand on a highly regarded annual list. Apple, Microsoft, Samsung and Intel helped round out the top 10. Apple's brand is estimated to be worth $98.3 billion, a 28% increase over 2012, when it was No. 1 increase in 2012, but by only 2%, to $79.2 billion.	-0.299057107385
NEW: Russia says more U.S. and Canadian officials have been added to those barred entry. Donetsk and Luhansk separatists say they're going ahead with Sunday referendum. Body reportedly of pro-Ukrainian Donetsk resident is found in burned-out car. Russia says it's withdrawing troops from border, but NATO and U.S. see no signs of it.	Pro-Russia separatists in eastern Ukraine have decided to go ahead with a Sunday referendum on greater local powers, they said Thursday, defying a call by Russian President Vladimir Putin to postpone the vote. The comments came after Putin announced a troop pullback Wednesday, saying Russian forces are "now not on the Ukrainian border but are carrying out their regular exercises at the test grounds." Moscow says right-wing, ultranationalist groups are behind the violence in Ukraine and that it has no direct influence over the pro-Russian groups.	Pro - Russia separatists in eastern Ukraine have decided to go ahead with a Sunday referendum on greater local powers. Representatives from the council of the self - declared Donetsk People's Republic and separatists from Luhansk told reporters they have voted to press ahead to ask eastern Ukrainians there if they want sovereignty from Kiev. After the vote that was held today, the referendum could echo events in March when voters in Crimea approved a controversial ballot to secede from Ukraine and join Russia.	-0.147798079503
Apple Maps places city of Mildura in national park, 70 kilometers from actual location. Some motorists trying to reach Mildura have had to be rescued from park by cops. Police: Some motorists stranded in park for up to 24 hours without food or water. Apple's map app widely criticized since release; firm's CEO has apologized for app.	Calling it a "potentially life-threatening issue," police say the mapping system lists Mildura, a city of 30,000 people, as being in the middle of Murray-Sunset National Park. "Police have contacted Apple in relation to the issue and hope the matter is rectified promptly to ensure the safety of motorists travelling to Mildura. Apple Maps, which replaced the Google Maps app on Apple mobile devices when the tech giant released its iOS 6 platform in September, has been widely panned by critics and users alike. Apple CEO Tim Cook apologized for Maps shortly after its release.	Police in Mildura, australia are warning drivers to be careful about using Apple Maps to find the city. The app has placed more than 40 miles ( 70 kilometers) away in the Outback). Several motorists have had to be rescued by police from the Park, which police say has no water supply and where temperatures can reach a blistering 46 degrees Celsius ( 114 Fahrenheit).	-1000000.20648
NEW: Federal Public Defender Office in Boston to represent Dzhokar Tsarnaev after charges are filed. Russian President Vladimir Putin wants details from U.S. on bombing suspects. If physically able, suspect could be in court this weekend, expert says. Two U.S. senators say Dzhokar Tsarnaev should be questioned without a lawyer.	Federal terrorism charges against Boston Marathon bombings suspect Dzhokar Tsarnaev could be filed soon, even as he remains hospitalized, a Justice Department official told CNN on Saturday. Should bomber suspect be questioned without a lawyer? In ordinary cases, a suspect is told by police he has the right to remain silent and he has the right to a lawyer. "In the absence of such evidence I know of no legal basis for his detention as an enemy combatant.	New: Dzhokar Tsarnaev, older brother, Tamerlan Tsarnaev, are accused of setting off bombs at the Marathon. The 19-year - old could also face murder charges at the state level. Tsarnaev and his older brother are also accused of killing a Massachusetts police officer before the older brother was killed during a shootout with police. "There are still many unanswered questions," a Justice Department official says.	-0.319753993384
Russian President Vladimir Putin says his country's surveillance isn't as broad as that in the U.S. "We do not have the money or the means to do that," he tells the fugitive intelligence leaker. Putin says he and the former NSA contractor "can speak in a professional language"	"If I'm concerned about anything, I'm concerned about defense capabilities that he may have stolen from where he worked, and does that knowledge then get into the hands of our adversaries -- in this case, of course, Russia," Flynn said. Last October, Lon Snowden visited Moscow, where he told reporters that his 30-year-old son told him he had had no contact with Russian security or intelligence. In January, Director of National Intelligence James Clapper told the Senate Intelligence Committee that the Snowden leaks caused serious damage to U.S. security.	Fugitive U.S. intelligence leaker Edward Snowden on Thursday asked Russian President Vladimir Putin about Moscow's own surveillance practices. Snowden asked in English via a video link during Putin's annual question - and - answer program, which was broadcast on state television. Snowden disclosed details of the vast U.S. surveillance network put in place after the September 11, 2001, terrorist attacks, including the government's record keeping on billions of phone calls.	-0.0264323782349
Big data deemed as the 'new oil' according to experts. Businesses who ignore the power of big data may fall behind. Amazon and Netflix are leading the big data revolution, analyzing customer data to predict what they'll want to buy in the future.	The rise of big data. Firms like Amazon and Netflix are at the forefront of this revolution, gathering the huge amounts of data generated by their customers and analyzing it to predict what customers will want to buy or watch in the future. Netflix has effectively built its entire business model on analyzing customer data, he says. Professor Thierry Chaussalet, who runs a business intelligence and analytics masters course at the University of Westminster in London, says many businesses simply don't understand the big data technology now available and what it has to offer.	Amazon and Netflix are at the forefront of this revolution, gathering the huge amounts of data generated by their customers and analyzing it to predict what customers will want to buy or watch in the future. Amazon is currently working on technology that will deliver products to you before you've even ordered them, or at least keep them in warehouses nearby in anticipation, says Andy Cutler, director of strategy at SAS, a consulting firm specializing in big data analytics.	-0.0579464662019
CIA collects bulk records on international money moves, says source. Source: The program is an outgrowth of terror-finance tracking programs. Most transactions are purely non-U.S., but some are to or from the United States. CIA says it doesn't comment on "alleged intelligence sources or methods"	The CIA program focuses on transfers that the agency believes could be the source of terrorism financing and that use services such as MoneyGram and Western Union. Such U.S.-related transactions could raise concerns about data of U.S. people, which the CIA is generally prohibited from collecting. Banks, money transfer outfits and casinos are also required by the United States to flag suspicious transactions under the Bank Secrecy Act, which also is the law used to police money laundering and other illicit financial transactions.	The CIA is collecting bulk records on international money transfers, a source says. The CIA program provides some redundancies intended to catch transactions that may not draw attention in other programs. The revelation comes amid debate in the United States over whether to pare back some surveillance in light of privacy concerns raised after former NSA contractor Edward Snowden leaked documents describing secret spy programs.	-0.137865740258
NATO releases images showing tank presence near Russia's border with Ukraine. Security service says a homemade bomb was left outside gate of President's offices. Three Ukrainian soldiers killed in attack by separatists. Ukraine's President vows punishment for plane shootdown.	European leaders Saturday held telephone talks with Russian President Vladimir Putin and his Ukrainian counterpart after a Ukrainian military plane was shot down by separatists, killing all 49 people on board, officials said. "President Obama made clear that de-escalation depends upon Russia ceasing support for separatists in eastern Ukraine and stopping the provision of arms and materiel across the border, and we urge Russia to do so."	Ukrainian President Francois Hollande and German Chancellor Angela Merkel held a telephone discussion with Russian President Vladimir Putin and his Ukrainian counterpart after a Ukrainian military plane was shot down by insurgents. The attack, which represents one of the bloodiest single events in that nation's current period of turmoil, spurred a diplomatic flurry to limit further escalation of the crisis.	-0.160757025656
U.S. official: "Surveillance capabilities, including with ... foreign partners" under review. German leader: "True change is necessary" on part of the U.S. U.S. isn't monitoring Merkel's communications, White House insists. France is angry about claims the NSA intercepted millions of phone calls in France.	U.S. President Barack Obama understands it's a "necessity" for change from his nation's perspective, according to Merkel, who spoke with the American leader on Wednesday after Germany's government said it had information the United States might have monitored her phone. The German allegation comes in the same week that French daily newspaper Le Monde reported claims the NSA intercepted more than 70 million phone calls in France over 30 days. Merkel spoke with Obama by phone in July about allegations that the United States was conducting surveillance on its European allies.	German Chancellor Angela Merkel says she isn't the only one concerned; other European leaders have been spied on had "severely shaken" relationships between Europe and the United States, the German leader said. In a USA Today op - ed published online Thursday night, Obama's homeland security and counterterrorism adviser Lisa Monaco conceded that recent "disclosures have created significant challenges in our relationships".	-0.229015951518
Douglas Rushkoff says whistle-blowers used to point out company misbehavior. But he says recent company trashings by ex-employees were aimed at business plans. He says Goldman Sachs, Google -- both criticized recently -- are doing what they exist to do. Rushkoff: What the two ex-workers want can't happen in the companies' business model.	Likewise, computer engineer James Whittaker, who left Microsoft in 2009 to work at Google, returned to Microsoft last month and fired off an angry public blog post about how Google is losing itself in a "whirlwind of desperation." He says that when he first went to Google, it was "a technology company that empowered its employees to innovate." Smith believes it is not just more ethical, but better business for Goldman to think about serving its clients. Google is an advertising company.	Daniel Ellsberg: "whistle - blowers" risked his life to leak the Pentagon Papers. Since the Vietnam War, dozens of brave, disillusioned Americans such as them have turned against humanity in some real way. The recent spate of public defections of employees from the corporations they work for just doesn't feel like quite the same thing. Instead of helping its clients make money, it's pretty easy for most of us to agree with Greg Smith.	-0.217697584339
NEW: At least 89 people are killed across Syria Thursday, opposition activists say. NEW: Panetta says intelligence "raises serious concerns" about chemical weapons. A top Russian politician says Syria "is not up to the task" to do its job. Clinton meets with the U.N. special envoy to Syria and Russia's foreign minister.	The situation in Syria is accelerating, U.S. Secretary of State Hillary Clinton said Thursday, amid reports that President Bashar al-Assad's government may be preparing to use chemical weapons. The pressure against the regime in and around Damascus seems to be increasing," Clinton said before meeting with Russia's foreign minister and the U.N. special envoy to Syria. U.S. officials are "very concerned" that al-Assad's forces may use chemical weapons as rebels advance, U.S. Defense Secretary Leon Panetta told reporters in Washington Thursday.	New: U.S. officials are "very concerned" that President Bashar al - Assad's government may be preparing to use chemical weapons. New: the defense Secretary did not provide additional details about the intelligence information. U.s. has not confirmed the NBC report.	-0.436567116612
NEW: U.S. State Department: Pullback "would be a welcome preliminary step" if accurate. German Chancellor Angela Merkel, Russian President Vladimir Putin talk by phone. Ukrainian officials say Russia is repositioning some troops massed on its border. Russian Prime Minister goes to Crimea in the highest-level visit since Moscow annexed region.	The news about Russian troops came on the day that Russian Prime Minister Dmitry Medvedev traveled to Crimea -- the highest-level visit from Moscow since Russia annexed the region -- in part to unveil measures aimed at integrating the peninsula into the Russian economy. Ukraine: Russian troops 'conducting unclear maneuvers' Amid reports that Russia may have started withdrawing from the border, but before the Merkel announcement, government sources in Kiev told CNN that Russian troops were not backing away but were repositioning their forces farther north.	Russian President Vladimir Putin says he'd ordered a partial withdrawal of Russian troops. The two leaders discussed Ukraine, including "possibilities for international assistance to restore stability". Russia has said it had no intention of ordering armed forces to cross over into its neighbor. Russia may have 40,000 troops near its border with eastern Ukraine and another 25,000 inland on alert and prepared to go in, two U.S. officials say.	-0.186483646013
Donna Brazile chastises the wave of politically driven attacks that seem just for sport. Hillary Clinton, she argues, is the current target of those "silly" attacks from Drudge and others. To paraphrase Henry Kissinger: "In Washington, someone is always out to get you."	Maybe Drudge is more entertainer than reporter. Take, for example, his tweet about Hillary Clinton, which caused something of a media firestorm. So Drudge tweeted the picture, asking, "Is Clinton Holding a Walker?" How long will the media let this tweetle-dumb linger? Russian President Vladimir Putin also took a pot shot at Clinton, calling her "a weak woman."	Hillary Clinton is the Democrat's presumptive 2016 front - runner. He says the definition of paranoia is the 'false belief that someone is out to get you'. The latest craziness comes from Matt Drudge, who publishes the Drudge Report, the political equivalent of an online supermarket tabloid. Drudge funnels anonymous propaganda into the mainstream media, propaganda it might not buy otherwise.	-0.254662281913
Google has topped a Harris poll of the most reputable companies in the U.S. Technology companies dominated the top of the list. Among the others were Apple (No. 5), Intel (No. 6), Amazon (No. 8)	Google has topped a list of the most reputable companies in the U.S., according to a Harris Interactive poll. Rounding out the bottom of the list were insurance conglomerates, banks, and oil companies.	Google Interactive asked more than 30,000 respondents to identify the 60 most visible companies in the U.S., according to a Harris Interactive poll. At number one is Google, which Harris Interactive rates at an 84.05/100 on the reputation scale ( 80.0 and higher is consider "excellent").	-0.0798743410992
Hovestädt: Germans see surveillance differently than U.S. due to Stasi. Stasi were East Germany's secret police during Cold War era of Communist one party rule. Hovestädt: Germans have seen danger of condoning unchecked state power.	Germans may be full of indignation at the alleged tapping of Angela Merkel's phone by the U.S National Security Agency -- but the outrage is more than the disappointment of being betrayed by a friend, for the shadows of Germany's past are never far away. Not 25 years ago, Chancellor Merkel was a young scientist behind the Iron Curtain. She grew up a pastor's daughter which, under one party Communist rule in East Germany, put her on the fringes of society. Because even in a regime as repressive as East Germany, people wanted to express who they really were.	Angela Merkel: Germans may be full of indignation at the alleged tapping of Angela Merkel's phone. She says people who moved in religious circles were considered problematic because they often did not conform to the party line. Many thousands of people landed in jail for their desire to travel freely, to express their opinions openly and to vote for candidates they wanted -- to exercise their human rights.	-0.200584622902
Richard Sobel: Comprehensive immigration reform is a good thing for the U.S. But he says provisions in the Senate bill would impose intrusive ID systems. Many workers could be denied the right to work because of faulty systems, he says. Sobel: ID proposals are costly and endanger constitutionally protected freedoms.	Yet, citizens have a constitutional right to take employment. E-Verify essentially equates all Americans with "illegal immigrants." Instead of naturalization freeing legal immigrants from carrying mandatory "green cards," universal E-Verify would impose IDs on American citizens. If E-Verifying costs $150 per employee, only a third (37%) of Americans say in polls that they would support using the system.	Immigration reform will strengthen American society and economy. The Senate must respect the rights of U.S. citizens and those aspiring to join them. Any citizen or immigrant whose digital image in the Homeland Security databank did not match the one embedded in their government - issued ID would be without a job and benefits. Since the Butchers Union Co. decision in 1884, the U.S. Supreme Court has held that the right to follow any of the common occupations of life is an inalienable right.	-0.222679611003
NEW: President Obama says sanctions that brought Iran to the table will continue. Iran's foreign minister says Israel is trying to "torpedo" a nuclear deal. Israeli Prime Minister Netanyahu calls a possible Iran deal "exceedingly bad" International talks on Iran resume later this week in Geneva.	In a sign of the level of disconnect, the two countries were unable to agree on when Kerry would next travel to Israel for talks with Netanyahu on the Iranian issue. Netanyahu said Sunday that Kerry would meet with him on Friday, but Kerry told reporters Monday he would be unable to make the trip so soon. Russia: Now is time to make deal with Iran on nuclear program. A key issue is enrichment of uranium, which is necessary at different levels for both power production and developing nuclear weapons.	President Barack Obama says he didn't know if what he called an interim agreement with Iran could be reached. The split involves international diplomacy and domestic political issues in both countries, and comes as Kerry and Obama also push Netanyahu to work with Palestinian officials on forging a Middle East peace agreement. The international community led by Israel, the United States, France and others demands that Tehran dismantle its ability to enrich uranium and other technology needed to develop nuclear weapons.	-0.1573334981
Head of EU delegation says trust must be rebuilt between Europe and the United States. EU delegation to meet at White House over spying concerns. Germany's own delegation is in Washington, too. American intelligence leaders are starting to push back on accusations.	European lawmakers took their push for answers on U.S. surveillance programs to the White House on Wednesday, meeting with Deputy National Security Adviser Lisa Monaco and other National Security Council staffers. This is "an extremely important issue of trust between the European Union and the United States," said Claude Moraes, head of the nine-member European Union delegation tasked with investigating disclosures of American spying on European leaders and citizens. "I have trust in the United States and its democracy," Kirkhope told reporters.	European lawmakers took their push for answers on U.S. surveillance programs. This is "an extremely important issue of trust between the European and the United States". Members of the's civil liberties Committee have been in Washington since Monday, and have also held discussions with officials from the State Department, congress and intelligence agencies. In Spain, prime Minister Mariano Rajoy said the nation's intelligence chief will brief lawmakers about surveillance activities.	-0.278489490633
Microsoft announces Xbox Originals, a slate of original TV series. The move is part of a tech trend toward producing original streaming content. Yahoo also announces two comedy series this week. Netflix led the way with shows like Emmy-winning "House of Cards"	Leading the charge are Spielberg and Scott, who are involved in two separate series based on the massively popular "Halo" video-game franchise. Last year, Amazon began producing original content for its Prime streaming service, most notably "Alpha House," a political comedy created by Trudeau and starring Goodman. "Whether you charge people for the content itself or whether you charge them for the game console, tablet, or app that it's a part of, original content is one of the only legal ways to achieve monopoly power and all the benefits that come with it.	Steven Spielberg and Ridley Scott are involved in two separate series based on the massively popular "halo" video - game franchise. Microsoft is the most recent tech titan to confirm such plans. The announcement is just the latest in a series of similar moves. If, as Microsoft's own Bill Gates once said, content is king, an increasing number of digital - age companies no longer satisfied playing middleman are making their claims for the throne.	-0.0655685510803
Asadullah Khalid is accused of drug trafficking and torture. President Karzai has nominated him to lead National Directorate of Security. Canadian official says Khalid a torturer; other sources say that's not correct.	In 2009, Colvin testified before Canada's parliament that his team had uncovered "very credible" evidence of torture being used by Afghan authorities in Kandahar, which allegedly included Khalid's direct involvement. The NDS is Afghanistan's main intelligence agency and reports directly to the president and National Assembly. If confirmed, Khalid's ascension atop the agency would bring a practiced Taliban-fighter and well-connected senior official to a security post critical to the president's inner circle.	President Hamid Karzai nominated the Pashtun leader as head of the National Directorate of security. The Canadian president dismisses intelligence chief amid cabinet shakeup. Khalid must still pass a legislative vote of confidence before assuming the coveted leadership post atop the country's main intelligence agency. But last week, top - level government leaks regarding the president's choice stirred controversy in the region and protest from rights groups.	-0.21661387305
A new report from the Guardian newspaper claims Microsoft willingly collaborated with the NSA. Report: Microsoft allowed feds to circumvent its encryption system to spy on users. Microsoft says it turns over data on customers only in response to legal requests. Microsoft: We do "not provide any government with blanket or direct access to ... any Microsoft product"	The Guardian, citing "top-secret" documents, said the NSA already had access to pre-encrypted e-mail on Microsoft's Outlook, including Hotmail. In a statement, Microsoft immediately denied many of the Guardian's claims, saying the company turns over data on customers only in response to legal requests.	New: Microsoft says the NSA already had access to pre - encrypted e - mail on Microsoft's Outlook. The NSA allegedly listened in on numerous video calls made via Skype. Microsoft also worked with the FBI this year to give the NSA easier access to its cloud storage service SkyDrive, which has more than 250 million users worldwide, according to the Guardian's report.	-0.264505626785
A new report says Amazon is making two smartphones -- one of them in 3D. Company also supposedly making music streaming, TV set-top devices. Amazon did not respond to questions about the report.	For more than a year, there have been rumors that Amazon is working on a smartphone. In addition to the two smartphone models, Amazon is also said to be working on a device for streaming music and a set-top box, the latter of which was also reported by Bloomberg BusinessWeek last month. We have some more things that we hope people will enjoy," he told the publication. Amazon's stock was up by about 1.5% on the day as of publication.	Amazon says Amazon is "developing a wide - ranging line - up of gadgets". The Journal says the 3D - capable smartphone will not require special glasses and may even let users navigate just by moving their eyes. Ceo Jeff Bezos suggested in an interview with AllThingsD in September that Amazon was planning to expand on its hardware offerings in the coming year.	-0.124480965558
Gingrich, Graham: U.S. has protested but hasn't gone beyond symbolic measures. They say Obama's meeting with Ukrainian leader and Kerry's condemnation aren't sufficient. Authors: U.S. should have accepted Ukraine's emergency request for military aid. They say it is crucial to send a message that the U.S. will respond strongly to aggression.	On Thursday, Secretary of State John Kerry announced that the U.S. will take "very serious" steps if Russia does not back down by Monday from its attempt to annex Crimea. Unless the President is willing to back up his words with military aid, he's not serious about stopping Putin's armed aggression. Russian occupation of the rest of Ukraine would be a vastly more threatening and more aggressive action. Trouble there could "reset" us right back to direct warfare with Russia. That would be a disaster and very, very dangerous.	Arseniy Yatsenyuk: America will take "very serious" steps if Russia does not back down by Monday. On Thursday, President Barack Obama hosted Arseniy Yatsenyuk, the new interim Ukrainian Prime Minister, for lunch at the White House, supposedly a thumb in the eye of Russian President Vladimir Putin and a sign of America's commitment to Ukrainian sovereignty. Putin has amassed 80,000 Russian troops on the Ukrainian border, and we are worried about "inflaming tensions"?	-0.086893175074
Apple's Forstall out in shakeup at the top. Forstall, head of Apple's mobile iOS operating system, will advise until next year. System was dinged after Maps update failed to impress. Retail chief John Browett also out in Cupertino shakeup.	Scott Forstall, one of the most visible faces of Apple in the wake of Steve Jobs' death, is leaving the company in a surprise shakeup at the head of Apple' ranks. Forstall, a senior vice president in charge of Apple's mobile operating system, iOS, will act as an adviser to CEO Tim Cook until departing some time next year, according to a news release from the company. As the man behind the system that ran Apple's industry-changing iPhone and iPad, Forstall had been considered a favorite to replace Jobs as CEO after Jobs' death last October.	Scott Forstall, one of the most visible faces of Apple in the wake of Steve Jobs' death, is leaving the company in a surprise shakeup at the head of Apple 'ranks. As the man behind the system that ran Apple's industry - changing iPhone and iPad, Forstall had been considered a favorite to replace Jobs as CEO after Jobs' death last October. More recently, Apple observers pegged Forstall, 43, as the next in line behind Cook.	0.059936425183
Some Web commenters say they don't see the point of the new iPad Mini. Consumers could get whiplash from how phones, tablets have grown and shrunk in size. As phones and tablets seem to merge, manufacturers must find that sweet spot in between.	Since Apple introduced its iPad Mini on Tuesday, some commenters on CNN, Twitter and elsewhere have expressed skepticism about the need for the new device. In other news, Apple announced the iPad Mini today." Fueled by interest in watching video and playing games, smartphone screens have been gradually getting larger -- from about 3.5 inches, measured diagonally, to almost 5 inches. The original iPad and its first wave of rivals measured about 10 inches across, but more recent entries such as Amazon's Kindle Fire and Google's Nexus 7 have been 7 inches -- small enough to slip into a coat pocket.	Apple introduced its iPad Mini on Tuesday, some commenters on CNN, Twitter and elsewhere have expressed skepticism about the need for the new device. Apple's stock took a dive when the Mini's price was announced, and a search of the blogosphere found less excitement among consumers than what greeted the original iPad or the last several iPhones. The Mini is slightly larger than rival tablets from Amazon and Google and about two - thirds the size of the current iPads.	-0.0398201024251
Apple is preparing to launch iCloud, an Internet storage service. Amazon already has Cloud Drive, and Google has a variety of services. iCloud is tightly integrated into Apple software but seemingly less so in other platforms.	Google does not have a music store. Cloud Drive offers 5 gigabytes (about 1,000 songs) free, and provides an extra 20 gigabytes for a year to customers who buy an album from Amazon's MP3 Store. Each gigabyte after that costs $1. Google's Music service is free this year if you can procure an invitation to join, and Google has not announced pricing for after that. So we're making it free," Jobs said. Music Beta is currently storing 20,000 songs free.	Apple is the world's most popular jukebox software, highest - volume music retailer. Apple will join Amazon.com and Google, two major players that have already begun rolling out storage services. Apple's Cloud Drive and Google's music Beta require users to upload their entire libraries to each service before they can be accessed from Web and mobile jukeboxes.	-0.115258871667
Zabiullah Mujahid, Afghan Taliban spokesman talks to CNN's Nic Robertson. Mujahid says Taliban wants to disturb Afghanistan election. He says they want to enforce sharia law, Islamic government in Afghanistan. Suicide bombs, traditional warfare, talks among options, Mujahid says.	Zabiullah Mujahid, one of two spokesmen for Afghan Taliban leader Mullah Mohammed Omar, spoke recently with CNN's Nic Robertson about the war in Afghanistan and the Taliban's relationship with al Qaeda. We are Afghan Taliban and our policy is clear against the foreign troops. CNN: Are there any talks at all with the Afghan government? Mujahid: I want to tell you clearly it is war.	Zabiullah Mujahid, one of two spokesmen for Afghan Taliban leader Mullah Mohammed Omar, spoke recently with CNN's Nic Robertson about the war in Afghanistan and the Taliban's relationship with al Qaeda. Mujahid almost never gives TV interviews and initially said the interview would last 15 minutes, but spoke to Robertson for 45. Here is an edited transcript.	-0.100664467658
NEW: A congressman says suspects "likely" planned Boston attacks, then changed plans. NEW: Russia voiced concerns to the U.S. about one suspect, his mother, sources say. Police: Suspect told investigators he and his brother decided "spontaneously" to bomb NYC. Dzhokhar Tsarnaev, 19, was "more lucid" the second time he was interviewed, police say.	Dzhokhar Tsarnaev, the surviving suspect in the Boston bombings, told investigators that he and his brother decided to bomb Times Square as they talked the night of April 18 in a Mercedes SUV they'd just carjacked, New York City Police Commissioner Ray Kelly said. Rep. Mike Rogers, chairman of the House Intelligence Committee, said investigators believe the Boston bombing suspects were planning another attack "likely in the Boston area." Sources: Suspect was unarmed in boat.	Dzhokhar Tsarnaev, the surviving suspect in the Boston bombings, told investigators that he and his brother decided to bomb Times Square as they talked the night of April 18 in a Mercedes SUV they'd just carjacked, New York City police Commissioner Ray Kelly said. Instead, their plan "fell apart" when the SUV ran low on fuel in the area and the Tsarnaevs ordered the driver to pull into a gas station.	-0.151118175032
Analysts say Amazon.com's Kindle Fire will cost more to build than $199. Selling the tablet for $199 is very aggressive compared to the $499 iPad. Amazon is apparently hoping to make up the losses on media sales.	According to analysts' estimates, the company couldn't. When factoring in marketing and other costs, Munster's estimate could jibe with iSuppli's. Amazon is making a potentially expensive entrance into the tablet market with its aggressively priced tablet. Factoring in projections for all of the e-books, music and video that customers will likely purchase for the device, Amazon is expected to turn a profit of $10 per Fire, iSuppli said in a statement. By contrast, Apple's iPad 2, the most popular tablet, costs $333.25 to make, iSuppli says.	Amazon will sell the Kindle Fire at a loss when it debuts on November 15. The Internet's largest retailer is apparently aiming to make up the costs by selling other goods, as it and other retail giants such as Wal - mart Stores often do. The preliminary estimate is typically based on analysts' talks with people in the supply chain and does not change significantly once iSuppli is able to tear down the hardware for a thorough report, executives say.	-0.00576329574418
Evidence indicates that the NSA stores contents of phone conversations and e-mails. NSA can investigate only when it can show reason it might be linked to foreign threat. Christopher Slobogin: If it is monitoring many thousands of calls, are all those justified? Slobogin: Congress must make sure the NSA abides by the laws it has enacted.	Recent revelations, triggered by ex-NSA employee Edward Snowden's earlier disclosures, indicate that the National Security Agency not only collects volumes of metadata about the phone numbers people use, it routinely stores the contents of phone conversations, text messages, e-mails and Internet activity. The key question then becomes when the NSA may "query" or identify the source of the metadata it has stored and read the communications it has collected.	Edward Snowden's earlier disclosures indicate that the National security Agency not only collects volumes of metadata about the phone numbers people use, it routinely stores the contents of phone conversations, text messages, e - mails and Internet activity. If they were followed, the European naysayers about the NSA's exploits would not be so hot under the collar. The NSA may not conduct queries or identify the source of the metadata it has stored and read the communications it has collected.	-0.10610476224
U.S. legislator says spectators will face tight Olympics security. Russia's foreign ministry vowed a continued "tough" offensive against terrorism. Two terrorist bombings hit Volgograd, killing more than 30 people. The attacks raised concerns about security at the Olympics in February.	Another suspected suicide bombing struck the southern Russian city of Volgograd on Monday, killing at least 14 people and further highlighting Russia's security challenges as it prepares to host the Winter Olympics in less than six weeks. No one claimed responsibility for the Volgograd blasts, but they occurred several months after the leader of a Chechen separatist group pledged violence to disrupt the 2014 Sochi Winter Olympics that begin on February 7. International Olympic Committee President Thomas Bach condemned the bombings as "a despicable attack on innocent people.	Another suspected suicide bombing struck the southern Russian city of Volgograd on Monday. The explosion hit a trolleybus near a busy market during the morning rush hour, a day after a blast at Volgograd's main train station killed 17 people and wounded at least 35. No one claimed responsibility for the Volgograd blasts, but they occurred several months after the leader of a Chechen separatist group pledged violence to disrupt the 2014 Sochi Winter Olympics that begin on February 7.	-0.110887294859
Google has appointed lawyers to work with developers on new products. For the first time, Google canned a finished project due to privacy concerns. The product would have used facial recognition to find out who someone is.	 As recently as March, Google still had plans to eventually release the facial-recognition version of the app, CNN reported. Schmidt was less supportive of the idea at a conference two weeks ago when he said it was "unlikely" that Google would release the software. Regulators say Google has crossed that line before, with its camera-taking vehicles and with Google Buzz.	Google is striving to be more sensitive to data - collection issues. Google still had plans to eventually release the facial - recognition version of the app. Google has inserted a layer of oversight to reduce the recklessness that many fledgling companies get away.	-0.350087552957
Bradley Manning, 25, is charged with violations of the Espionage Act. His case is in the hands of a military judge who will decide his guilt or innocence. Manning was arrested on May 27, 2010. He is accused of releasing upwards of three-quarters of a million classified documents.	According to Fein, the prosecutor, within two weeks of his arrival in Iraq, Manning began working with WikiLeaks founder Julian Assange over what to leak and how to do it. Over a period of days beginning on May 22, 2010, Lamo testified, he and the man identified as Manning instant-messaged about the release of the documents and videos. Lamo has said he reported Manning to authorities. Manning," who had little regard for his allegiance to the United States, Fein told the court.	Bradley Manning pleaded guilty in February to 10 lesser charges related to the leaks. Authorities have accused Manning of delivering three - quarters of million pages of classified documents and videos to WikiLeaks. Manning refused to plead guilty to the most serious allegations, including that of aiding enemies of the United States -- a charge that falls under the Espionage Act and carries a sentence of life in prison, if convicted.	-0.105511497312
